nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,init_date,camera,field_fate,cam_fateNA,cam_fate,final_fate,nest_age,final_obs_int,final_obs_date,species,likely_failed,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
10113,RUTE,2019,29.75806,-93.12002,90,80,none,,60,44,N,A,TRUE,,A,19,63,63,CONI,0,54,57,57,63,63,,,3,9,0,starr,1E,54|57|63,2E|starr|1E,0|3|6,,,"12 June- egg was starring on June 6th, must have been abandoned and found by ants while hatching."
10114,RUTE,2019,29.75728,-93.11665,90,80,none,,55,39,N,H,TRUE,,H,18,57,57,CONI,0,54,55,55,55,55,,,2,3,0,starr,"1C,3d",54|57,"starr|1C,3d",0|2,,,KBB has photos of chick
10115,RUTE,2019,29.75634,-93.11276,80,75,none,,70,56,N,H,TRUE,,H,16,72,72,CONI,0,54,72,72,72,72,,,5,18,0,not check,1C,54|57|63|68|72,1E|2E|2E|not check|1C,0|3|6|5|4,,,6/17 - not checked due to cows in area that wanted to follow me/may have trampled nest
10116,ROJH,2019,29.63733,-92.76791,20,25,none,,83,55,N,S,TRUE,,S,7,62,62,WIPL,1,55,55,55,62,62,,,2,7,0,3E,fail,55|62,3E|fail,0|7,,,11 June- area overwashed from June 5th surge likely the cause of failure.
10117,BROW,2019,29.7724,-93.29749,0,0,none,,82,63,N,A,TRUE,,A,20,83,83,LETE,0,61,78,78,83,83,,,6,22,0,starr,cracked,61|67|69|73|78|83,2E|1E|1E|1E|starr|cracked,0|6|2|4|5|5,,,
10118,BROW,2019,29.77235,-93.29783,0,0,none,,81,62,N,S,TRUE,,S,7,69,69,LETE,1,61,67,67,69,69,,,3,8,0,2E,fail,61|67|69,1E|2E|fail,0|6|2,,,high tides/storm surge from 6/17 morning storms
10119,BROW,2019,29.77186,-93.30047,0,0,none,,71,52,N,S,TRUE,,S,17,69,69,LETE,0,61,67,67,69,69,,,3,8,0,2E,fail,61|67|69,2E|2E|fail,0|6|2,,,high tides/storm surge from 6/17 morning storms
10120,BROW,2019,29.77186,-93.3011,0,0,none,,87,59,N,F,TRUE,,F,19,78,78,WIPL,1,61,73,73,78,78,,,5,17,0,3E,fail,61|67|69|73|78,3E|3E|3E|3E|fail,0|6|2|4|5,,,27 june- predator tracks nearby but not leading to the nest. the scrape looks washed like it was hit hard with heavy rainfall. failed unk cause
10122,RUTE,2019,29.7589,-93.12319,,,sym,,79,60,Y,U,FALSE,F,F,12,4,72,LETE,1,63,68,68,72,72,,,3,9,0,2E,0E,63|68|72,2E|2E|0E,0|5|4,final obs is a week before est hatch,too far to tell what happened; saw photos once but not sure where they are,"6/17- camera placed; 6/21- empty scrape, no signs of hatch/fail"
10124,RUTE,2019,29.75817,-93.12001,,,none,,79,60,N,D,TRUE,,D,7,67,67,LETE,1,63,63,63,67,67,,,2,4,0,2E,fail,63|67,2E|fail,0|4,,,"12 June nest is just outside the eastern end of fencing along the dirt road used by ATVs. 16 June, nest found empty. Predator?"
10125,RUTW,2019,29.7702,-93.17794,,,none,,82,63,Y,D,FALSE,Ca,Ca,9,5,72,LETE,1,63,67,67,72,72,,,3,9,0,1E,0E,63|67|72,1E|1E|0E,0|4|5,,,6/21- found buried egg shell with hole punctured in it and dried up egg contents (picture)
10126,RUTW,2019,29.7705,-93.17954,,,none,,82,63,Y,A,FALSE,Ca,Ca,14,5,77,LETE,1,63,72,72,77,77,,,4,14,0,1E,abandon,63|67|72|77,1E|1E|1E|abandon,0|4|5|5,,,why Ca? changed to A
10127,RUTW,2019,29.77062,-93.18002,,,none,,79,59,Y,H,FALSE,H,H,22,4,81,LETE,0,63,81,78,81,78,78,78,5,18,0,2E,empty,63|67|72|77|81,2E|2E|2E|2E|empty,0|4|5|5|3,,cam starts 10-jan 11:35pm; shrike?? On 18-jan,why H? no chicks seen in field?
10128,RUTW,2019,29.77052,-93.17999,,,none,,86,58,N,F-A,TRUE,,F-A,23,81,81,WIPL,1,63,77,77,81,81,,,5,18,0,1E,1E,63|67|72|77|81,2E|2E|2E|1E|1E,0|4|5|5|4,,,
10130,BROW,2019,29.77165,-93.30247,5,10,none,,82,50,N,H,TRUE,,H,28,78,78,WIPL,1,66,78,78,78,78,,,4,12,0,2E,"1C, 1E",66|69|73|78,"3E|3E|2E|1C, 1E",0|3|4|5,,,22 June- ghost crab holes nearby. Maybe took an egg? 27 june- chick banded at nest by KBB
10132,BROW,2019,29.77361,-93.28963,0,0,none,,86,70,N,D,TRUE,,D,3,73,73,CONI,1,69,69,69,73,73,,,2,4,0,1E,fail,69|73,1E|fail,0|4,,,
10133,BROW,2019,29.77331,-93.29224,5,15,none,,88,60,N,D,TRUE,,D,13,73,73,WIPL,1,69,69,69,73,73,,,2,4,0,3E,fail,69|73,3E|fail,0|4,,,
10134,BROW,2019,29.77312,-93.29353,80,70,none,,81,50,N,H,TRUE,,H,28,78,78,WIPL,1,69,78,78,78,78,,,3,9,0,3E,2C,69|73|78,3E|3E|2C,0|4|5,,,
10135,BROW,2019,29.77169,-93.30158,0,0,none,,96,68,N,F,TRUE,,F,5,73,73,WIPL,1,69,69,69,73,73,,,2,4,0,1E,fail,69|73,1E|fail,0|4,,,22 June- KBB photo of ghost crab hole and vehicle tracks at nest
10137,BROW,2019,29.77217,-93.29902,20,10,none,,88,60,N,D-A,TRUE,,D-A,31,91,91,WIPL,0,69,86,86,91,91,,,8,22,0,1E,fail,69|73|78|83|84|85|86|91,3E|3E|3E|3E|?|?|1E|fail,0|4|5|5|1|1|1|5,,,"5 July nest was down to one egg, no adult behavior indicating chicks nearby, thinking maybe picked off by a ghost crab? lots of holes around the area. depredated by crab, final egg abandoned"
10138,BROW,2019,29.77248,-93.29659,0,0,none,,82,63,N,Hu,TRUE,,Hu,10,73,73,LETE,1,69,69,69,73,73,,,2,4,0,3E,fail,69|73,3E|fail,0|4,,,22 June- run over by vehicle
10142,RAIN,2019,29.69328,-92.22533,0,0,none,,,,N,,TRUE,,0,,84,84,LETE,,70,70,70,84,84,,,2,14,,2E,fail,70|84,2E|fail,0|14,,,failed; likely omit for nest model given long gap between nest checks.
10146,BROW,2019,29.77248,-93.29645,0,0,none,,89,66,N,H,TRUE,,H,20,86,86,LETE,1,73,85,85,85,85,,,4,13,0,2E,"2C, 1-2d",73|78|83|86,"2E|2E|2E|2C, 1-2d",0|5|5|1,,,
10147,BROW,2019,29.77233,-93.2975,0,0,none,,89,70,N,H,TRUE,,H,21,91,91,LETE,0,73,89,89,89,89,,,5,18,0,2E,poops,73|78|83|86|91,2E|2E|2E|2E|poops,0|5|5|3|2,,,10 July- baby chick poops in scrape indicating hatch. 2 small downy chicks observed from shoreline being fed just south of nest stick. Possibly from this nest. But it definitely hatched.
10148,BROW,2019,29.77173,-93.30105,0,0,none,,86,67,N,W,TRUE,,W,11,78,78,LETE,1,73,73,73,78,78,,,2,5,0,2E,fail,73|78,2E|fail,0|5,,,
10149,BROW,2019,29.77257,-93.296,0,0,none,,92,73,N,S,TRUE,,S,24,97,97,LETE,0,73,91,91,97,97,,,6,24,1,2E,fail,73|78|83|86|91|97,1E|2E|2E|2E|2E|fail,0|5|5|3|5|6,,,
10150,RUTW,2019,29.7639,-93.144,60,70,none,,,61,N,H,TRUE,,H,16,77,77,CONI,,74,77,77,77,77,,,2,3,,2E,"1C, 1E hatch",74|77,"2E|1C, 1E hatch",0|3,,,"28 June attempted a box trap on nest, not a good method for this species."
10153,RUTE,2019,29.75673,-93.11461,70,75,,,93,77,N,A,TRUE,,A,25,102,102,CONI,0,89,99,99,102,102,,,7,13,1,1E,abandon,77|89|92|97|98|99|102,2E|2E|2E|2E|2E|1E|abandon,0|12|3|5|1|1|3,,,"8 Jul - attempted hand net and bow net capture. bird escaped bow net and method was not reattempted. SB has more detailed notes; 18 Jul one had started hatching, was being eaten by ants. removed that egg and bird came back to incubate"
10154,BROW,2019,29.77267,-93.29533,0,0,,,97,78,N,S,TRUE,,S,19,97,97,LETE,0,78,91,91,97,97,,,5,19,0,2E,fail,78|83|86|91|97,2E|2E|2E|2E|fail,0|5|3|5|6,,,TS Barry storm surge- beach scoured and all nests and chicks lost.
10155,BROW,2019,29.77244,-93.29666,0,0,,,87,67,N,H,TRUE,,H,19,86,86,LETE,0,78,86,86,86,86,,,3,8,0,3E,"1C, 2E",78|83|86,"3E|3E|1C, 2E",0|5|3,,,
10166,HBRB,2019,29.76608,-93.3847,0,0,none,,,,N,S,TRUE,,S,,100,100,LETE,,88,91,91,100,100,,,3,12,,2E,fail,88|91|100,1E|2E|fail,0|3|9,,,Barry storm impacts
10167,HBRB,2019,29.76598,-93.38461,0,0,none,,,,N,S,TRUE,,S,,100,100,LETE,,88,91,91,100,100,,,3,12,,2E,fail,88|91|100,2E|2E|fail,0|3|9,,,Barry storm impacts
10168,HBRB,2019,29.76553,-93.38167,0,0,none,,,,N,F,TRUE,,F,,100,100,LETE,,88,88,88,100,100,,,3,12,,not check,fail,88|91|100,2E|not check|fail,0|3|9,,,not tracked well enough for model?
10169,HBRB,2019,29.76466,-93.3702,5,5,none,,,,N,F,TRUE,,F,,100,100,CONI,,88,88,88,100,100,,,3,12,,not check,fail,88|91|100,2E|not check|fail,0|3|9,,,not tracked well enough for model?
10170,HBTO,2019,29.76881,-93.43932,0,0,none,,,,N,F,TRUE,,F,,100,100,LETE,,88,88,88,100,100,,,2,12,,1E,fail,88|100,1E|fail,0|12,,,not tracked well enough for model?
10171,HBTO,2019,29.76879,-93.43872,0,0,none,,,,N,F,TRUE,,F,,100,100,LETE,,88,88,88,100,100,,,2,12,,1E,fail,88|100,1E|fail,0|12,,,not tracked well enough for model?
10172,HBTO,2019,29.76879,-93.43822,0,0,none,,,,N,F,TRUE,,F,,100,100,LETE,,88,88,88,100,100,,,2,12,,1E,fail,88|100,1E|fail,0|12,,,not tracked well enough for model?
10173,HBTO,2019,29.76874,-93.43724,0,0,none,,,,N,F,TRUE,,F,,100,100,LETE,,88,88,88,100,100,,,2,12,,1E,fail,88|100,1E|fail,0|12,,,not tracked well enough for model?
10174,HBTO,2019,29.76874,-93.437,0,0,none,,,,N,F,TRUE,,F,,100,100,LETE,,88,88,88,100,100,,,2,12,,1E,fail,88|100,1E|fail,0|12,,,not tracked well enough for model?
10175,RUTW,2019,29.76057,-93.13046,15,25,none,,,90,N,H,TRUE,,H,16,106,106,CONI,,89,106,106,106,106,,,5,17,,2E,2C,89|98|100|104|106,2E|2E|2E|2E|2C,0|9|2|4|2,,,7/25/19 - Female captured at nest and banded.
10176,BROW,2019,29.77271,-93.29499,0,0,none,,,,N,S,TRUE,,S,,97,97,LETE,,91,91,91,97,97,,,2,6,,2E,fail,91|97,2E|fail,0|6,,,TS Barry storm surge- all nests and chicks lost
10177,BROW,2019,29.77206,-93.29881,0,0,none,,,,N,S,TRUE,,S,,97,97,LETE,,91,91,91,97,97,,,2,6,,2E,fail,91|97,2E|fail,0|6,,,TS Barry storm surge- all nests and chicks lost
10200,ROCK,2019,29.66708,-92.84296,5,5,none,,41,13,N,S,TRUE,,S,18,31,31,WIPL,1,11,23,23,31,31,,,6,20,0,not check,fail,11|15|19|23|28|31,1E|3E|3E|3E|not check|fail,0|4|4|4|5|3,,,strong south winds and storms
10201,ROCK,2019,29.6625,-92.83125,50,5,none,,41,13,N,S,TRUE,,S,2,15,15,WIPL,1,11,11,11,15,15,,,2,4,0,1E,fail,11|15,1E|fail,0|4,,,25 April - heavy storm with strong south winds likely the cause of nest failure. No adults or eggs present. Could not find nest stick and area had been overwashed from surge.
10202,ROCK,2019,29.66157,-92.82929,20,30,none,,46,18,N,D,TRUE,,D,5,23,23,WIPL,1,19,19,19,23,23,,,2,4,0,1E,fail,19|23,1E|fail,0|4,,,photo evidence confirms a GC hole at nest scrape
10205,ROCK,2019,29.66136,-92.8288,10,10,none,,46,18,N,D,TRUE,,D,5,23,23,WIPL,1,19,19,19,23,23,,,2,4,0,1E,fail,19|23,1E|fail,0|4,,,evidence of coyote and GC at nest
10206,RUTW,2019,29.77008,-93.17743,15,15,none,,40,21,Y,H,FALSE,A,A,28,5,49,LETE,0,24,50,45,50,50,,,6,25,1,1E,1E,23|26|35|40|44|49,3E|3E|3E|3E|1E|1E,0|3|9|5|4|5,"if not hatch, what happened to other 2 eggs?",see field photo from 20 May - most likely nest for the photos on cam 11. would already be at 1E when cam placed. No evidence of chicks/extra adult activity,24 May- piece of egg shell in nest with 1E. Angry adults around. Hatch?
10208,ROCK,2019,29.662,-92.82995,10,5,none,,45,17,N,S,TRUE,,S,14,31,31,WIPL,1,19,23,23,31,31,,,4,12,0,not check,fail,19|23|28|31,2E|BON|not check|fail,0|4|5|3,,,strong south winds and storms
10210,RUTW,2019,29.76799,-93.16595,5,5,none,,42,25,Y,U,FALSE,H,H,24,5,49,LETE,0,23,44,44,49,44,44,44,6,26,1,2E,0E,23|26|35|40|44|49,1E|2E|2E|2E|2E|0E,0|3|9|5|4|5,, ,"nest has been around since 5/3, still eggs on 5/24, maybe hatched maybe not; update HATCHED per camera :)"
10211,RUTW,2019,29.76784,-93.16529,5,5,none,,40,24,Y,H,FALSE,H,H,20,4,44,LETE,0,23,43,43,43,43,,,5,21,1,3E,2C,23|26|35|40|44,3E|3E|3E|3E|2C,0|3|9|5|1,,in camera with 257 et al. and know it hatched,how old were chicks?
10213,RUTW,2019,29.77049,-93.17948,5,5,none,,41,22,N,Hu,TRUE,,Hu,4,26,26,LETE,1,23,23,23,26,26,,,2,3,0,2E,fail,23|26,2E|fail,0|3,,,vehicle/ATV tracks through the nest
10220,RUTW,2019,29.76998,-93.17687,5,5,none,,40,25,N,H,TRUE,,H,19,44,44,LETE,0,23,44,44,44,44,,,5,21,1,3E,"1E, 1C",23|26|35|40|44,"3E|3E|3E|3E|1E, 1C",0|3|9|5|4,,,
10223,RUTW,2019,29.76699,-93.16137,,,none,,54,35,Y,F,FALSE,Ca,Ca,18,4,53,LETE,0,40,49,49,53,53,,,4,13,0,2E,fail,40|44|49|53,3E|2E|2E|fail,0|4|5|4,,,SB placed camera 5/20
10224,RUTW,2019,29.76702,-93.16142,,,none,,,,N,A,TRUE,,A,,40,40,LETE,,35,35,35,40,40,,,2,5,,2E,2E,35|40,2E|2E,0|5,,,
10225,RUTW,2019,29.76707,-93.16164,,,none,,53,36,Y,U,FALSE,H,H,27,10,63,LETE,0,33,53,55,63,55,55,55,8,30,1,not check,empty,35|40|44|49|53|55|57|63,3E|3E|3E|3E|3E|hatch|not check|empty,0|5|4|5|4|2|2|6,,3-4 day old chick on camera on 6 Jun,"6 June- area flooded, not able to access this stretch. 3-4 day old chick seen on camera 6/6"
10226,RUTW,2019,29.76697,-93.16144,,,none,,,,N,F,TRUE,,,,49,49,LETE,,44,44,44,49,49,,,2,5,,2E,0E,44|49,2E|0E,0|5,,,5/29 - angry adults in area; also lots of disturbance - maybe run over?
10227,RUTW,2019,29.76751,-93.16409,,,none,,53,38,N,H,TRUE,,H,19,57,57,LETE,0,40,57,57,57,57,,,4,17,1,2E,"1C, 1E",40|49|53|57,"3E|2E|2E|1C, 1E",0|9|4|4,,,"6 June 1C 1d old, 1E, the egg is not viable"
10228,RUTW,2019,29.76757,-93.16476,,,none,,,,N,F,TRUE,,F,,44,44,LETE,,40,40,40,44,44,,,2,4,,2E,fail,40|44,2E|fail,0|4,,,"24 May- ghost crab hole and tracks at nest, as well as cattle tracks through the nest- KBB. unknown cause of failure."
10229,RUTW,2019,29.76797,-93.16587,,,none,,,26,Y,U,FALSE,H,H,23,5,49,LETE,,40,44,45,49,45,45,45,3,9,,3E,0E,40|44|49,3E|3E|0E,0|4|5,,"cam knocked over, but beforehand adult behavior is right for hatch, and chick-like object visible 25 May night","no sign of chicks or adults in area; unclear from camera footage, maybe take another look"
10230,RUTW,2019,29.76865,-93.16972,,,none,,,,N,F,TRUE,,F,,53,53,LETE,,40,49,49,53,53,,,4,13,,3E,0E,40|44|49|53,3E|3E|3E|0E,0|4|5|4,,,
10231,RUTW,2019,29.76913,-93.17229,,,none,,55,36,Y,U,FALSE,Ca,Ca,21,4,57,LETE,0,40,53,53,57,57,,,5,17,0,2E,empty,40|44|49|53|57,3E|not check|3E|2E|empty,0|4|5|4|4,,birds abandoned after prolonged cattle disturbance; cam was left up for a long time after,DATES AREN'T RIGHT IN FOLDER (29 may-21 jun). 6 June- check cam on nest for fate confirmation
10232,RUTW,2019,29.77015,-93.17771,,,none,,61,42,Y?,S,TRUE,,,15,57,57,LETE,1,41,53,53,57,57,,,5,16,0,2E,fail,40|44|49|53|57,2E|2E|2E|2E|fail,0|4|5|4|4,,,
10233,RUTW,2019,29.77078,-93.18123,,,none,,,44,Y,H,FALSE,H,H,19,6,63,LETE,,40,63,63,63,63,,,6,23,,3E,3C,40|44|49|53|57|63,2E|3E|3E|3E|3E|3C,0|4|5|4|4|6,,notes say there's a camera,
10234,RUTW,2019,29.77068,-93.18048,,,none,,54,35,Y,U,FALSE,A,A,28,4,63,LETE,0,40,59,59,63,63,,,7,23,1,BON,empty,40|44|49|53|57|59|63,2E|2E|2E|2E|2E|BON|empty,0|4|5|4|4|2|4,,birds left area >1 day before cattle arrived and knocked over camera; unclear exactly why they left,"12 June- check game camera for fate confimation; birds present early morning on 6/8, not present during middle of day or evening; night of 6/8 game camera knocked over by cattle; placed too far away to tell hatch or no"
10235,RUTW,2019,29.76754,-93.16405,,,none,,,26,Y,U,TRUE,,,23,49,49,LETE,,40,44,45,49,45,45,45,4,9,,hatch?,0E,40|44|45|49,2E|2E|hatch?|0E,0|4|1|4,penult should have been deleted; changed cam fate back to 'NA',camera knocked over,"adults divebombing, angry; no sign of chicks"
10236,RUTE,2019,29.75839,-93.12074,,,none,,,42,N,H,TRUE,,H,21,63,63,LETE,,48,61,61,61,61,,,5,15,,3E,hatch,42|48|54|57|63,3E|3E|3E|3E|hatch,0|6|6|3|2,,,"28 May- eggs floating vertical almost to surface. 12 June- SB and KBB approached an empty nest scrape. no chicks observed but angry adults present, and downy feathers in nest scrape confirming chicks in the scrape."
10237,RUTE,2019,29.75842,-93.12101,,,none,,,,N,Hu,TRUE,,Hu,,48,48,LETE,,42,42,42,48,48,,,2,6,,2E,fail,42|48,2E|fail,0|6,,,"28 May- nest run over by vehicle, stick crushed as well."
10238,RUTE,2019,29.75869,-93.12238,,,none,,,44,N,H,TRUE,,H,19,63,63,LETE,,48,63,63,63,63,,,5,15,,3E,"2C, 1E",42|48|54|57|63,"3E|3E|3E|3E|2C, 1E",0|6|6|3|6,,,
10239,RUTE,2019,29.7587,-93.12267,,,none,,,34,N,H,TRUE,,H,20,54,54,CONI,,42,50,50,50,50,,,3,12,,2E,"2C, 4d",42|48|54,"2E|2E|2C, 4d",0|6|4,,,3 June- off the nest scrape but still nearby. some pinning of the primaries has begun but still small with an egg tooth. photos by KBB
10240,RUTW,2019,29.77064,-93.18053,30,40,none,C,45,26,Y,F,FALSE,D,D,9,6,35,LETE,1,29,29,29,35,35,,,2,6,0,3E,0E,29|35,3E|0E,0|6,,same camera as 241. coyote depredation,"9 May- SB deployed camera on nest. 15 May cattle disturbance, 0E. 24 May- egg shell fragment in cup, but otherwise empty KBB"
10241,RUTW,2019,29.77065,-93.18056,30,40,none,,50,32,Y,H,FALSE,H,H,21,4,53,LETE,0,29,51,51,51,51,,,7,24,0,hatch?,chick behavior,29|35|40|44|49|51|53,2E|3E|3E|3E|3E|hatch?|chick behavior,0|6|5|4|5|2|2,penult should have been deleted,,"6/2 chick behavior; 9 May- SB deployed camera on nest. 2 June- KBB and SB observed adults throwing poop, hovering, aggressive indicating chicks. Check camera for more evidence. "
10242,RUTW,2019,29.76763,-93.1642,5,5,none,C,49,30,Y,F,FALSE,D,D,10,5,40,LETE,1,29,35,35,40,40,,,3,11,0,?,0E,29|35|40,1E|?|0E,0|6|5,other nests observed that day-penult should be BON,evidence of camera on nest? coyote on night of 20 May - ,9 May- SB deployed camera on nest. 15 May SB could not find; looks like something was digging in area around stick
10245,RUTW,2019,29.76739,-93.16364,10,15,none,,50,22,N,S,TRUE,,S,29,51,51,WIPL,0,40,49,49,51,51,,,3,11,0,2E,fail,40|49|51,2E|2E|fail,0|9|2,,,"5/29 - adults very agitated in area, fake brooding, circling; no starring yet 5/31- nest was lost to an afternoon storm that brought a surge which overwashed the nest. adults were observed selecting a new nest site and scraping. KBB"
10246,RUTW,2019,29.77001,-93.17696,20,30,none,,,,N,U,TRUE,,U,,49,49,LETE,,35,44,44,49,49,,,4,14,,3E,not f,35|40|44|49,3E|3E|3E|not f,0|5|4|5,,,
10247,RUTW,2019,29.77049,-93.17966,5,,none,,,,N,Hu,TRUE,,Hu,,49,49,LETE,,35,44,44,49,49,,,4,14,,3E,0E,35|40|44|49,3E|3E|3E|0E,0|5|4|5,,,"5/29 tire tracks all through area, pieces of egg shell"
10248,RUTW,2019,29.77052,-93.17986,,,none,,63,35,N,Hu,TRUE,,Hu,18,53,53,WIPL,1,35,49,49,53,53,,,5,18,0,3E,fail,35|40|44|49|53,1E|3E|3E|3E|fail,0|5|4|5|4,,,"5/29 tire tracks through area but nest still there. 6/2 run over by vehicle. clear evidence with crushed bits of wooden nest stick, gooey egg yolk, and tire track through the nest"
10249,RUTW,2019,29.77058,-93.17997,,,none,,,,N,Hu,TRUE,,Hu,,49,49,LETE,,35,40,40,49,49,,,3,14,,3E,0E,35|40|49,3E|3E|0E,0|5|9,,,5/29 tire tracks through area (nest near 247). vehicle possibly on camera (from nest 241)
10250,RUTW,2019,29.76987,-93.17583,,,none,,,,N,U,TRUE,,U,,40,40,LETE,,35,35,35,40,40,,,2,5,,2E,not f,35|40,2E|not f,0|5,,,
10251,RUTW,2019,29.76972,-93.17542,,,none,,,,N,U,TRUE,,U,,40,40,LETE,,35,35,35,40,40,,,2,5,,3E,not f,35|40,3E|not f,0|5,,,
10252,RUTW,2019,29.76869,-93.16971,,,none,,49,37,N,H,TRUE,,H,16,53,53,CONI,0,40,53,53,53,53,,,4,13,1,starr,1C,40|44|49|53,2E|not f|starr|1C,0|4|5|4,,,"no starring yet but heard chicks inside 5/29, SB check for photo for chick age?"
10253,RUTW,2019,29.76847,-93.1687,,,none,,58,39,N,U,TRUE,,U,18,57,57,LETE,0,36,53,53,57,57,,,6,21,0,1E,empty,35|40|44|49|53|57,1E|1E|1E|1E|1E|empty,0|5|4|5|4|4,,,
10254,RUTW,2019,29.7683,-93.16759,,,none,,50,31,N,Ca,TRUE,,Ca,22,53,53,LETE,0,35,49,49,53,53,,,5,18,0,2E,fail,35|40|44|49|53,2E|2E|2E|2E|fail,0|5|4|5|4,,,
10255,RUTW,2019,29.7683,-93.1676,,,none,,54,35,Y?,H,FALSE,H,H,22,57,57,LETE,0,35,54,54,54,54,,,6,22,0,3E,empty,35|40|44|49|53|57,2E|3E|3E|3E|3E|empty,0|5|4|5|4|3,missing camera data; don't actually know if hatched,notes say there's a camera,"7 June- KBB had chick behavior, lots of diving and angry adults pooping in the area. Hatch likely before the storm hit on June 5."
10256,RUTW,2019,29.76784,-93.16527,,,none,C,50,31,Y,F,FALSE,D,D,22,4,53,LETE,0,35,49,49,53,53,,,5,18,0,3E,fail,35|40|44|49|53,2E|2E|2E|3E|fail,0|5|4|5|4,,,camera placed 5/15
10257,RUTW,2019,29.76791,-93.16517,,,none,C,54,35,Y,F,FALSE,D,D,18,4,53,LETE,0,35,49,49,53,53,,,5,18,0,3E,fail,35|40|44|49|53,3E|3E|3E|3E|fail,0|5|4|5|4,,,"camera placed 5/15 which other nests on cam? Should be 256, 257, 211"
10258,RUTW,2019,29.76782,-93.16521,,,none,,55,36,Y,U,FALSE,D,D,13,5,49,LETE,1,35,44,44,49,49,,,4,14,0,2E,not f,35|40|44|49,1E|2E|2E|not f,0|5|4|5,,may barely be visible behind 257 et al.,camera placed 5/15
10260,RUTE,2019,29.75887,-93.12305,40,40,none,,,,N,A,TRUE,,A,,54,54,LETE,,42,48,48,54,54,,,4,12,,1E,abandon,36|42|48|54,2E|1E|1E|abandon,0|6|6|6,,,3 June- 1E cold and wet 
10261,RUTE,2019,29.75883,-93.12291,30,40,none,,51,32,N,A,TRUE,,A,22,54,54,LETE,0,42,48,48,54,54,,,4,12,0,2E,abandon,36|42|48|54,2E|2E|2E|abandon,0|6|6|6,,,3 June- 2E cold and wet
10262,RUTE,2019,29.7588,-93.12283,40,40,none,,,,N,A,TRUE,,A,,54,54,LETE,,42,48,48,54,54,,,4,12,,1E,abandon,36|42|48|54,1E|1E|1E|abandon,0|6|6|6,,,3 June- 1E cold and wet
10263,RUTE,2019,29.75879,-93.12283,40,40,none,,,34,N,H,TRUE,,H,20,54,54,LETE,,48,53,53,53,53,,,4,6,,2E,"2C, 1-2 d",36|42|48|54,"2E|2E|2E|2C, 1-2 d",0|6|6|1,,,
10264,RUTE,2019,29.75887,-93.12286,40,40,none,,53,34,N,H,TRUE,,H,20,54,54,LETE,0,48,53,53,53,53,,,4,6,0,3E,2C 1-2d,36|42|48|54,3E|3E|3E|2C 1-2d,0|6|6|1,,,
10265,RUTE,2019,29.75886,-93.12285,40,40,none,,52,35,N,H,TRUE,,H,19,54,54,LETE,0,48,54,54,54,54,,,4,6,0,2E,1C,36|42|48|54,2E|2E|2E|1C,0|6|6|6,,,
10266,RUTE,2019,29.75844,-93.12144,40,40,none,,66,34,N,H,TRUE,,H,29,63,63,WIPL,1,36,62,62,62,62,,,6,27,0,3E,"2C, 1-2d",36|42|48|54|57|63,"2E|3E|3E|3E|3E|2C, 1-2d",0|6|6|6|3|1,,,12 June- SB and KBB discovered nest empty but signs of hatch. Just east we found the adults with 2 young chicks and banded them. Nest hatched earlier than expected.
10268,RUTW,2019,29.7645,-93.14937,,,none,,,,N,Hu,TRUE,,Hu,,48,48,LETE,,39,43,43,48,48,,,3,9,,2E,fail,39|43|48,2E|2E|fail,0|4|5,,,28 May- vehicle tracks everywhere in area. Could not locate stick.
10269,RUTE,2019,29.75881,-93.12295,,,none,,,38,N,H,TRUE,,H,19,57,57,LETE,,42,57,57,57,57,,,4,15,,3E,"1C, 2E",42|48|54|57,"3E|3E|3E|1C, 2E",0|6|6|3,,,"6 June- chick in scrape 1d, 2E"
10270,RUTE,2019,29.75877,-93.12286,,,none,,,33,N,H,TRUE,,H,21,54,54,LETE,,42,52,52,52,52,,,3,12,,2E,empty,42|48|54,2E|2E|empty,0|6|2,,,"3 June- poop in nest scrape, chick behavior by adults, very aggressive"
10271,RUTE,2019,29.75883,-93.12309,,,none,,,32,N,H,TRUE,,H,16,48,48,CONI,,42,48,48,48,48,,,2,6,,2E,"1C, 1E",42|48,"2E|1C, 1E",0|6,,,
10273,RUTE,2019,29.75887,-93.12328,40,30,sym,,,,N,A,TRUE,,A,,54,54,LETE,,42,42,42,54,54,,,2,12,,1E,abandon,42|54,1E|abandon,0|12,,,3 June- egg cold and wet in scrape
10274,RUTW,2019,29.76149,-93.13569,,,sym,,,,N,F,TRUE,,F,,48,48,LETE,,43,46,46,48,48,,,3,5,,BON,cracked,43|46|48,1E|BON|cracked,0|3|2,,,not sure what caused cracked egg - was the bird still incubating the cracked egg??
10275,RUTW,2019,29.76156,-93.13579,5,20,sym,,63,44,N,Hu,TRUE,,Hu,10,54,54,LETE,1,43,50,50,54,54,,,5,11,0,BON,1E,43|46|48|50|54,1E|BON|2E|BON|1E,0|3|2|2|4,,,"* 6/3 - near dumped flatscreen TV, probably abandoned; looked like nest scrape but no bird seen on nest either time I passed; stick was knocked over so hard to tell where original nest scrape was or if this was an egg knocked out of scrape. human-caused abandonment/nest failure."
